entry,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
"0 ComputedStructureEntry - Hf2 Ni1 Pd1 O6 (Hf2NiPdO6)
Energy (Uncorrected)     = -81.2665  eV (-8.1266  eV/atom)
Correction               = -6.6630   eV (-0.6663  eV/atom)
Energy (Final)           = -87.9295  eV (-8.7929  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -4.1220   eV (-0.4122  eV/atom)
  MP2020 GGA/GGA+U mixing correction (Ni): -2.5410   eV (-0.2541  eV/atom)
Parameters:
  is_hubbard             = True
  hubbards               = {'Hf': 0, 'Ni': 6.2, 'Pd': 0, 'O': 0}
  run_type               = GGA+U
  potcar_symbols         = ['PBE Hf_pv', 'PBE Ni_pv', 'PBE Pd', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {'Hf': 4.0, 'Ni': 2.0, 'Pd': 2.0, 'O': -2.0}",0.07981547572070546,0.010925624494801025,True,True,True,True,True,True,True,True,True,True,False,0.07981547572070546,0.07981547572070546
"1 ComputedStructureEntry - Pr6 Tl1 Sn1 O3 (Pr6TlSnO3)
Energy (Uncorrected)     = -68.3225  eV (-6.2111  eV/atom)
Correction               = -2.0610   eV (-0.1874  eV/atom)
Energy (Final)           = -70.3835  eV (-6.3985  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -2.0610   eV (-0.1874  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Pr_3', 'PBE Tl_d', 'PBE Sn_d', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {}",0.10286334791133811,0.06281549798654786,False,False,False,False,True,True,True,True,True,True,True,0.10286334791133811,0.10286334791133811
"2 ComputedStructureEntry - Na1 Sr1 Ca1 Se1 O1 (NaSrCaSeO)
Energy (Uncorrected)     = -21.4327  eV (-4.2865  eV/atom)
Correction               = -0.6870   eV (-0.1374  eV/atom)
Energy (Final)           = -22.1197  eV (-4.4239  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -0.6870   eV (-0.1374  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Na_pv', 'PBE Sr_sv', 'PBE Ca_sv', 'PBE Se', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {}",0.5100861125968814,0.0007363703358106866,False,False,False,False,True,True,True,True,True,True,False,0.5100861125968814,0.5100861125968814
"3 ComputedStructureEntry - Ho6 Tm6      (HoTm)
Energy (Uncorrected)     = -53.3642  eV (-4.4470  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -53.3642  eV (-4.4470  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ho_3', 'PBE Tm_3']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.0821082916861986,0.0022283748100799822,True,True,True,True,True,True,True,True,True,True,True,0.0821082916861986,0.0821082916861986
"4 ComputedStructureEntry - Li2 Mn1 Pb6 O9 (Li2Mn(Pb2O3)3)
Energy (Uncorrected)     = -100.3265 eV (-5.5737  eV/atom)
Correction               = -7.8510   eV (-0.4362  eV/atom)
Energy (Final)           = -108.1775 eV (-6.0099  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -6.1830   eV (-0.3435  eV/atom)
  MP2020 GGA/GGA+U mixing correction (Mn): -1.6680   eV (-0.0927  eV/atom)
Parameters:
  is_hubbard             = True
  hubbards               = {'Li': 0, 'Mn': 3.9, 'Pb': 0, 'O': 0}
  run_type               = GGA+U
  potcar_symbols         = ['PBE Li_sv', 'PBE Mn_pv', 'PBE Pb_d', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {'Li': 1.0, 'Mn': 4.0, 'Pb': 2.0, 'O': -2.0}",0.12915129766710454,0.08163376153006854,False,False,True,True,True,True,True,True,True,True,True,0.12915129766710454,0.12915129766710454
"5 ComputedStructureEntry - Cd1 Ag4 Pt7  (CdAg4Pt7)
Energy (Uncorrected)     = -55.0197  eV (-4.5850  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -55.0197  eV (-4.5850  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Cd', 'PBE Ag', 'PBE Pt']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.0628485474739593,0.004112325798138386,True,True,True,True,True,True,True,True,True,True,True,0.0628485474739593,0.0628485474739593
"6 ComputedStructureEntry - Sc1 In2 Cu9  (ScIn2Cu9)
Energy (Uncorrected)     = -49.1434  eV (-4.0953  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -49.1434  eV (-4.0953  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Sc_sv', 'PBE In_d', 'PBE Cu_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.09701416671196839,0.016180684402258897,True,True,True,True,True,True,True,True,True,True,True,0.09701416671196839,0.05810953393419016
"7 ComputedStructureEntry - Li1 Sm1 Sc2 Te4 (LiSm(ScTe2)2)
Energy (Uncorrected)     = -41.4885  eV (-5.1861  eV/atom)
Correction               = -1.6880   eV (-0.2110  eV/atom)
Energy (Final)           = -43.1765  eV (-5.3971  eV/atom)
Energy Adjustments:
  MP2020 anion correction (Te): -1.6880   eV (-0.2110  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Li_sv', 'PBE Sm_3', 'PBE Sc_sv', 'PBE Te']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {'Li': 1.0, 'Sm': 3.0, 'Sc': 2.0, 'Te': -2.0}",0.03828866499413941,0.007314532141487191,False,True,True,True,True,False,False,True,True,False,True,0.03828866499413941,0.03828866499413941
"8 ComputedStructureEntry - Nd1 Sm2 Cu1 S4 (NdSm2CuS4)
Energy (Uncorrected)     = -47.7702  eV (-5.9713  eV/atom)
Correction               = -2.0120   eV (-0.2515  eV/atom)
Energy (Final)           = -49.7822  eV (-6.2228  eV/atom)
Energy Adjustments:
  MP2020 anion correction (S): -2.0120   eV (-0.2515  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Nd_3', 'PBE Sm_3', 'PBE Cu_pv', 'PBE S']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {'Nd': 3.0, 'Sm': 2.0, 'Cu': 1.0, 'S': -2.0}",0.18230866700878856,0.06579521296954692,False,False,True,True,True,True,True,True,True,True,True,0.18230866700878856,0.18230866700878856
"9 ComputedStructureEntry - Zn1 Ru2 O7   (ZnRu2O7)
Energy (Uncorrected)     = -62.0258  eV (-6.2026  eV/atom)
Correction               = -4.8090   eV (-0.4809  eV/atom)
Energy (Final)           = -66.8348  eV (-6.6835  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -4.8090   eV (-0.4809  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Zn', 'PBE Ru_pv', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {'Zn': 2.0, 'Ru': 6.0, 'O': -2.0}",0.14740909695116944,0.04901811521133898,False,False,True,True,True,True,True,True,True,True,False,0.14740909695116944,0.14740909695116944
